caller_number,reports,average_risk,last_seen,total_victims,reputation_score
+917072402074,0,12.0,2026-07-01T05:44:14.616989+00:00,0,100
+917800000026,3,88.0,2026-07-01T05:44:14.617103+00:00,3,40
+917800000064,3,88.0,2026-07-01T05:44:14.617108+00:00,3,40
+917800000022,3,88.0,2026-07-01T05:44:14.617111+00:00,3,40
+917800000042,3,88.0,2026-07-01T05:44:14.617115+00:00,3,40
+918657534328,1,88.0,2026-07-01T05:44:14.617118+00:00,1,80
+918651412130,0,12.0,2026-07-01T05:44:14.617120+00:00,0,100
+917800000059,3,88.0,2026-07-01T05:44:14.617123+00:00,3,40
+917800000039,3,88.0,2026-07-01T05:44:14.617127+00:00,3,40
+919062337247,1,88.0,2026-07-01T05:44:14.617129+00:00,1,80
+917800000032,3,88.0,2026-07-01T05:44:14.617132+00:00,3,40
+917800000092,3,88.0,2026-07-01T05:44:14.617135+00:00,3,40
+917800000010,3,88.0,2026-07-01T05:44:14.617138+00:00,3,40
+917495805050,1,88.0,2026-07-01T05:44:14.617140+00:00,1,80
+917238957476,1,88.0,2026-07-01T05:44:14.617143+00:00,1,80
+917800000034,3,88.0,2026-07-01T05:44:14.617146+00:00,3,40
+916704848352,1,88.0,2026-07-01T05:44:14.617148+00:00,1,80
+917800000079,3,88.0,2026-07-01T05:44:14.617151+00:00,3,40
+917800000093,3,88.0,2026-07-01T05:44:14.617154+00:00,3,40
+917800000075,3,88.0,2026-07-01T05:44:14.617157+00:00,3,40
+917988369200,1,88.0,2026-07-01T05:44:14.617160+00:00,1,80
+917800000019,3,88.0,2026-07-01T05:44:14.617163+00:00,3,40
+917800000091,3,88.0,2026-07-01T05:44:14.617165+00:00,3,40
+917800000088,3,88.0,2026-07-01T05:44:14.617168+00:00,3,40
+916527229294,1,88.0,2026-07-01T05:44:14.617171+00:00,1,80
+917800000020,3,88.0,2026-07-01T05:44:14.617174+00:00,3,40
+918689071626,0,12.0,2026-07-01T05:44:14.617176+00:00,0,100
+917800000031,3,88.0,2026-07-01T05:44:14.617179+00:00,3,40
+917622130540,0,12.0,2026-07-01T05:44:14.617182+00:00,0,100
+917800000025,3,88.0,2026-07-01T05:44:14.617185+00:00,3,40
+917246733716,1,88.0,2026-07-01T05:44:14.617188+00:00,1,80
+917800000008,3,88.0,2026-07-01T05:44:14.617190+00:00,3,40
+919524491205,0,12.0,2026-07-01T05:44:14.617193+00:00,0,100
+919173581472,1,88.0,2026-07-01T05:44:14.617196+00:00,1,80
+919489616721,1,88.0,2026-07-01T05:44:14.617198+00:00,1,80
+916923273612,0,12.0,2026-07-01T05:44:14.617201+00:00,0,100
+919292237320,0,12.0,2026-07-01T05:44:14.617203+00:00,0,100
+917800000057,3,88.0,2026-07-01T05:44:14.617206+00:00,3,40
+917536325784,1,88.0,2026-07-01T05:44:14.617209+00:00,1,80
+916038844402,1,88.0,2026-07-01T05:44:14.617211+00:00,1,80
+917800000053,3,88.0,2026-07-01T05:44:14.617214+00:00,3,40
+919742435722,1,88.0,2026-07-01T05:44:14.617217+00:00,1,80
+916841482213,0,12.0,2026-07-01T05:44:14.617220+00:00,0,100
+917800000009,3,88.0,2026-07-01T05:44:14.617222+00:00,3,40
+919054035423,0,12.0,2026-07-01T05:44:14.617225+00:00,0,100
+917800000047,3,88.0,2026-07-01T05:44:14.617228+00:00,3,40
+916005575172,1,88.0,2026-07-01T05:44:14.617230+00:00,1,80
+917800000055,3,88.0,2026-07-01T05:44:14.617233+00:00,3,40
+917602838214,1,88.0,2026-07-01T05:44:14.617236+00:00,1,80
+917696735254,1,88.0,2026-07-01T05:44:14.617238+00:00,1,80
+917800000041,3,88.0,2026-07-01T05:44:14.617241+00:00,3,40
+917800000043,3,88.0,2026-07-01T05:44:14.617244+00:00,3,40
+917800000089,3,88.0,2026-07-01T05:44:14.617247+00:00,3,40
+918315172144,0,12.0,2026-07-01T05:44:14.617250+00:00,0,100
+919415705421,1,88.0,2026-07-01T05:44:14.617252+00:00,1,80
+916814145437,0,12.0,2026-07-01T05:44:14.617255+00:00,0,100
+919185250231,0,12.0,2026-07-01T05:44:14.617257+00:00,0,100
+917800000073,3,88.0,2026-07-01T05:44:14.617260+00:00,3,40
+918928018900,0,12.0,2026-07-01T05:44:14.617263+00:00,0,100
+916639731561,0,12.0,2026-07-01T05:44:14.617266+00:00,0,100
+917800000030,3,88.0,2026-07-01T05:44:14.617269+00:00,3,40
+917174015590,1,88.0,2026-07-01T05:44:14.617271+00:00,1,80
+916795305800,1,88.0,2026-07-01T05:44:14.617274+00:00,1,80
+917800000045,3,88.0,2026-07-01T05:44:14.617277+00:00,3,40
+917800000005,3,88.0,2026-07-01T05:44:14.617280+00:00,3,40
+919631538536,1,88.0,2026-07-01T05:44:14.617283+00:00,1,80
+916567398206,1,88.0,2026-07-01T05:44:14.617286+00:00,1,80
+918597369855,1,88.0,2026-07-01T05:44:14.617289+00:00,1,80
+919214492339,0,12.0,2026-07-01T05:44:14.617291+00:00,0,100
+919388054893,1,88.0,2026-07-01T05:44:14.617294+00:00,1,80
+919922715047,0,12.0,2026-07-01T05:44:14.617296+00:00,0,100
+917800000099,3,88.0,2026-07-01T05:44:14.617299+00:00,3,40
+917800000003,3,88.0,2026-07-01T05:44:14.617302+00:00,3,40
+916410819034,1,88.0,2026-07-01T05:44:14.617305+00:00,1,80
+917601708201,1,88.0,2026-07-01T05:44:14.617309+00:00,1,80
+917800000072,3,88.0,2026-07-01T05:44:14.617312+00:00,3,40
+917800000094,3,88.0,2026-07-01T05:44:14.617315+00:00,3,40
+917800000087,3,88.0,2026-07-01T05:44:14.617320+00:00,3,40
+918916049959,1,88.0,2026-07-01T05:44:14.617323+00:00,1,80
+917800000052,3,88.0,2026-07-01T05:44:14.617326+00:00,3,40
+919266937573,0,12.0,2026-07-01T05:44:14.617329+00:00,0,100
